TICKER_YEAR,TICKER,YEAR,ACCOCI,ASSETS,ASSETSC,ASSETSNC,CASHNEQ,DEBT,EQUITY,LIABILITIES,LIABILITIESC,LIABILITIESNC,CAPEX,DEPAMOR,NCF,NCFF,NCFI,NCFO,NCFX,PRICE,SHARESBAS,DPS,EBIT,EPS,EPSDIL,INTEXP,NETINC,NETINCCMN,NETINCDIS,PREFDIVIS,REVENUE,SHARESWA,SHARESWADIL,TAXEXP,ASSETSAVG,ASSETTURNOVER,BVPS,CURRENTRATIO,DE,DILUTIONRATIO,DIVYIELD,EBITDA,EBITDAMARGIN,EBT,EPSDILGROWTH1YR,EPSGROWTH1YR,EQUITYAVG,FCF,FCFPS,INTERESTBURDEN,LEVERAGERATIO,MARKETCAP,NCFOGROWTH1YR,NETINCGROWTH1YR,NETMARGIN,PAYOUTRATIO,PB,PE,PE1,PS,PS1,REVENUEGROWTH1YR,ROA,ROE,ROS,SHARESWAGROWTH1YR,SPS,TAXEFFICIENCY,WORKINGCAPITAL
A_2004,A,2004,159000000,7144000000,4663000000,2481000000,2315000000,0,3569000000,3575000000,1772000000,1803000000,-45000000,212000000,708000000,138000000,-114000000,670000000,14000000,25.06,485605849,0,426000000,0.76,0.75,0,369000000,369000000,242000000,0,4556000000,483000000,490000000,57000000,6736000000,0.676365796,7.343621399,2.631489842,1.001681143,1.014492754,0,638000000,0.140035119,426000000,-1.172413793,-1.174712644,3288500000,625000000,1.293995859,1,2.048350312,12169282576,-5.240506329,-1.179300292,0.080992098,0,3.409717729,32.97908557,32.97368421,2.671045342,2.656712028,0.019695613,0.054780285,0.112209214,0.093503073,0.021141649,9.432712215,0.866197183,2891000000
A_2005,A,2005,94000000,7256500000,4310500000,2946000000,3091500000,750000000,3608500000,3648000000,1655000000,1993000000,-11500000,191000000,372000000,-1135000000,841000000,652000000,14000000,30.33,447142586,0,1946500000,4.215,4.125,34500000,1838000000,1838000000,121000000,0,4764500000,457000000,465500000,74000000,7265625000,0.657159198,8.120591188,2.602480942,1.010846054,1.018847305,0,2137500000,0.435692203,1912000000,4.683023874,4.723249738,3606250000,640500000,1.408018811,0.990049034,2.017453699,13359133238,-2.767639149,3.966924778,0.372991525,0,3.698963018,18.6892682,18.80757222,2.798320168,2.871046543,0.040584199,0.239506496,0.477485851,0.395333881,-0.053194358,10.48549764,0.919708362,2655500000
A_2006,A,2006,29000000,7369000000,3958000000,3411000000,3868000000,1500000000,3648000000,3721000000,1538000000,2183000000,22000000,170000000,36000000,-2408000000,1796000000,634000000,14000000,35.6,408679323,0,3467000000,7.67,7.5,69000000,3307000000,3307000000,0,0,4973000000,431000000,441000000,91000000,7795250000,0.637952599,8.897560976,2.573472042,1.020010965,1.023201856,0,3637000000,0.731349286,3398000000,10.53846154,10.62121212,3924000000,656000000,1.522041763,0.980098067,1.986557085,14548983899,-0.294771969,9.113149847,0.664990951,0,3.988208306,4.399450831,4.641460235,2.925594993,3.085381058,0.061472785,0.424232706,0.842762487,0.697164689,-0.127530364,11.53828306,0.973219541,2420000000
A_2007,A,2007,408000000,7554000000,3671000000,3883000000,3441000000,2087000000,3234000000,4320000000,1663000000,2657000000,-142000000,191000000,-436000000,-980000000,-456000000,969000000,31000000,36.85,386547716,2.06,761000000,1.62,1.57,91000000,638000000,638000000,0,0,5420000000,394000000,406000000,32000000,7263500000,0.746196737,8.60106383,2.207456404,1.33580705,1.030456853,0.05590231,952000000,0.175645756,670000000,-0.790666667,-0.788787484,3433500000,827000000,2.098984772,0.880420499,2.115479831,14244283335,0.528391167,-0.8070759,0.117712177,1.269753086,4.404540301,22.32646291,22.74691358,2.628096556,2.678763838,0.089885381,0.087836442,0.185816223,0.140405904,-0.085846868,13.75634518,0.952238806,2008000000
A_2008,A,2008,-178000000,7007000000,3182000000,3825000000,2987000000,2125000000,2559000000,4448000000,1330000000,3118000000,-140000000,201000000,-421000000,-774000000,-399000000,756000000,-4000000,22.19,357541353,0,938000000,1.91,1.87,123000000,693000000,693000000,0,0,5774000000,363000000,371000000,122000000,7420250000,0.778140898,7.168067227,2.392481203,1.738178976,1.022038567,0,1139000000,0.197263595,815000000,0.191082803,0.179012346,3018250000,616000000,1.696969697,0.868869936,2.458461029,7933842623,-0.219814241,0.086206897,0.120020783,0,3.100368356,11.44854635,11.61780105,1.374063496,1.395041566,0.065313653,0.09339308,0.229603247,0.162452373,-0.078680203,15.90633609,0.850306748,1852000000
A_2009,A,2009,-185000000,7612000000,3961000000,3651000000,4045000000,2905000000,2514000000,5098000000,1123000000,3975000000,-127000000,162000000,1074000000,657000000,-14000000,408000000,23000000,24.74,345112058,0,95000000,-0.09,-0.09,88000000,-31000000,-31000000,0,0,4481000000,346000000,346000000,38000000,6980750000,0.641908104,7.329446064,3.527159394,2.027844073,1,0,257000000,0.057353269,7000000,-1.048128342,-1.047120419,2498250000,281000000,0.812138728,0.073684211,2.794255979,8538072315,-0.46031746,-1.044733045,-0.006918099,0,3.396210149,-275.4216876,-274.8888889,1.905394402,1.910296809,-0.22393488,-0.004440784,-0.012408686,0.021200625,-0.046831956,12.95086705,-4.428571429,2838000000
A_2010,A,2010,-88000000,9696000000,6169000000,3527000000,4199000000,3691000000,3236000000,6460000000,3083000000,3377000000,-114000000,202000000,170000000,601000000,-1174000000,718000000,25000000,34.8,346370351,0,788000000,1.97,1.94,96000000,684000000,684000000,0,0,5444000000,347000000,353000000,8000000,8534250000,0.637900226,9.406976744,2.000973078,1.996291718,1.017291066,0,990000000,0.18185158,692000000,-22.55555556,-22.88888889,2819000000,604000000,1.740634006,0.878172589,3.027403335,12053688215,0.759803922,-23.06451613,0.12564291,0,3.724872749,17.62235119,17.66497462,2.214123478,2.21814842,0.214907387,0.08014764,0.242639234,0.14474651,0.002890173,15.68876081,0.988439306,3086000000
A_2011,A,2011,116000000,9057000000,5569000000,3488000000,3527000000,2185000000,4316000000,4741000000,1837000000,2904000000,-170000000,253000000,878000000,-1693000000,1294000000,1260000000,17000000,37.07,347214336,0,1118000000,2.92,2.85,86000000,1012000000,1012000000,0,0,6615000000,347000000,355000000,20000000,8625750000,0.766889836,12.43804035,3.031573217,1.098470806,1.023054755,0,1371000000,0.207256236,1032000000,0.469072165,0.482233503,3954000000,1090000000,3.141210375,0.923076923,2.181525038,12871235436,0.754874652,0.479532164,0.152985639,0,2.982213956,12.71861209,12.69520548,1.945764994,1.94456387,0.215099192,0.117323131,0.255943349,0.169009826,0,19.06340058,0.980620155,3732000000
A_2012,A,2012,-111000000,10536000000,4629000000,5907000000,2351000000,2362000000,5185000000,5351000000,1893000000,3458000000,-194000000,301000000,-1176000000,-31000000,-2366000000,1228000000,-1000000,35.99,347500865,0.3,1364000000,3.31,3.27,101000000,1153000000,1153000000,0,0,6858000000,348000000,353000000,110000000,9701250000,0.706919211,14.89942529,2.445324881,1.032015429,1.014367816,0.00833565,1665000000,0.242782152,1263000000,0.147368421,0.133561644,4820500000,1034000000,2.971264368,0.925953079,2.012498703,12506556131,-0.025396825,0.139328063,0.168124818,0.090634441,2.412064828,10.84696976,10.87311178,1.823644814,1.826264217,0.036734694,0.118850664,0.239186806,0.198891805,0.002881844,19.70689655,0.91290578,2736000000
A_2013,A,2013,91000000,10686000000,4983000000,5703000000,2675000000,2699000000,5289000000,5397000000,1602000000,3795000000,-193000000,372000000,324000000,-554000000,-248000000,1152000000,-26000000,50.76,330791981,0.46,966000000,2.12,2.1,107000000,724000000,724000000,0,0,6782000000,341000000,345000000,135000000,10551000000,0.642782675,15.93072289,3.110486891,1.020419739,1.011730205,0.00906225,1338000000,0.197286936,859000000,-0.357798165,-0.359516616,5184500000,959000000,2.812316716,0.889233954,2.035104639,16791000956,-0.061889251,-0.372072853,0.10675317,0.216981132,3.174702393,23.19199027,23.94339623,2.475818484,2.552220584,-0.011081948,0.068619088,0.139647025,0.14243586,-0.020114943,19.88856305,0.842840512,3381000000
